"creditpolicy","loanamnt","term","intrate","emplength","targetloanstatus","dti","inqlast6mths","revolutil","totalacc","delin2years","homeowner","logannualinc","logrevolbal","ratioacc","verified","purpose_mod","pvalue_glm","pvalue_bag","pvalue_tree","pvalue_forest","pvalue_boosttree","pvalue_boostlinear","pvalue_pca","profit","loss","pvalue_NN"
1,2400,36,0.1596,10,0,8.72,2,0.985,10,"N","N",9.41352608394945,7.99193051985248,0.2,"N","business",0.523484177766215,0.518070824699069,0.667052916183855,0.6775,0.843305110931396,0.674880504608154,0.360025808195908,503.04,0,0.807083897079065
1,10000,36,0.1349,10,0,20,1,0.21,37,"N","N",10.8036692274771,8.63034328934889,0.27027027027027,"Y","other",0.142197839882397,0.139798650381662,0.523691800576844,0.485,0.538259029388428,0.404892176389694,0.125944034488734,1849,0,0.544948543014784
1,5000,36,0.079,3,0,11.2,3,0.283,12,"N","N",10.4913019948302,8.98268666518409,0.75,"Y","living_expenses",0.102372639979558,0.0992968686689547,0.293940911367051,0.4875,0.630086660385132,0.368864327669144,0.111211937792998,645,0,0.446471080555148
1,5375,60,0.1269,1,1,18.08,0,0.365,3,"N","N",9.61587214452889,9.13561682578025,0.666666666666667,"Y","other",0.290848603911927,0.284890372271963,0.523691800576844,0.6275,0.304050773382187,0.563128292560577,0.331903251733091,0,5106.25,0.698111582009744
1,6000,36,0.1171,1,0,18.44,0,0.377,14,"Y","Y",11.3385839825165,0,0.285714285714286,"Y","living_expenses",0.0865801462606012,0.0865573488504062,0.404731457800512,0.4075,0.278115063905716,0.491493344306946,0.105834235543658,1002.6,0,0.349213500245889
1,10000,36,0.1171,10,0,11.18,0,0.824,21,"N","Y",10.8197982842103,9.21602418844448,0.380952380952381,"Y","credit_card",0.0965442111897749,0.0957530645450237,0.523691800576844,0.44,0.53992885351181,0.405545383691788,0.077448778946631,1671,0,0.428951245764861
1,10000,36,0.1171,5,0,16.01,0,0.918,17,"N","N",10.8197982842103,9.78700991447743,0.352941176470588,"N","debt_consolidation",0.12050316422615,0.120380884283844,0.523691800576844,0.4525,0.4072085916996,0.454485714435577,0.123988974374142,1671,0,0.508480861198143
1,5000,60,0.1677,2,1,13.97,0,0.595,22,"Y","N",10.8198782794106,8.37701116081637,0.636363636363636,"N","other",0.286844738945765,0.287241152627691,0.667052916183855,0.62,0.57245796918869,0.66633665561676,0.352536645857356,0,4750,0.713481331892531
1,4000,36,0.1171,10,0,5.63,0,0.377,44,"Y","Y",11.571203807012,8.71784570489492,0.272727272727273,"N","debt_consolidation",0.0672567266394137,0.0676509364317778,0.404731457800512,0.2275,0.100809529423714,0.312618166208267,0.0715584684298978,668.4,0,0.338891263821691
1,5000,36,0.089,2,0,11.93,0,0.293,16,"N","N",10.0876823537118,7.70751219460034,0.5,"Y","debt_consolidation",0.099427538956081,0.0983856219238229,0.293940911367051,0.35,0.418818920850754,0.3220254778862,0.092599783327266,695,0,0.397481390078593
